date,precip,year,month,season,heavy,extreme
2019-09-02 06:00:01,14.6,2019,9,Autumn,True,False
2019-10-15 06:00:01,15.3,2019,10,Autumn,True,False
2019-10-16 06:00:01,12.0,2019,10,Autumn,True,False
2019-10-18 06:00:01,16.0,2019,10,Autumn,True,False
2019-10-19 06:00:01,18.4,2019,10,Autumn,True,False
2019-10-20 06:00:01,14.3,2019,10,Autumn,True,False
2019-11-09 06:00:01,11.8,2019,11,Autumn,True,False
2019-11-16 06:00:01,22.8,2019,11,Autumn,True,True
2019-11-26 06:00:01,10.8,2019,11,Autumn,True,False
2019-11-28 06:00:01,10.4,2019,11,Autumn,True,False
2019-12-14 06:00:01,15.6,2019,12,Winter,True,False
2020-01-18 06:00:01,14.9,2020,1,Winter,True,False
2020-01-28 06:00:01,16.2,2020,1,Winter,True,False
2020-01-29 06:00:01,20.2,2020,1,Winter,True,True
2020-03-01 06:00:01,28.0,2020,3,Spring,True,True
2020-03-03 06:00:01,25.0,2020,3,Spring,True,True
2020-03-04 06:00:01,36.2,2020,3,Spring,True,True
2020-04-02 06:00:01,17.0,2020,4,Spring,True,False
2020-05-01 06:00:01,20.4,2020,5,Spring,True,True
2020-06-05 06:00:01,18.5,2020,6,Summer,True,False
2020-06-06 06:00:01,10.5,2020,6,Summer,True,False
2020-06-16 06:00:01,11.0,2020,6,Summer,True,False
2020-07-01 06:00:01,13.8,2020,7,Summer,True,False
2020-07-05 06:00:01,13.4,2020,7,Summer,True,False
2020-07-20 06:00:01,15.9,2020,7,Summer,True,False
2020-07-28 06:00:01,19.2,2020,7,Summer,True,False
2020-07-30 06:00:01,15.2,2020,7,Summer,True,False
2020-09-26 06:00:01,23.0,2020,9,Autumn,True,True
2020-10-04 06:00:01,20.1,2020,10,Autumn,True,True
2020-10-06 06:00:01,34.6,2020,10,Autumn,True,True
2020-10-10 06:00:01,10.1,2020,10,Autumn,True,False
2020-10-20 06:00:01,19.8,2020,10,Autumn,True,False
2020-10-22 06:00:01,14.2,2020,10,Autumn,True,False
2020-12-28 06:00:01,19.4,2020,12,Winter,True,False
2020-12-29 06:00:01,14.2,2020,12,Winter,True,False
2021-01-11 06:00:01,20.2,2021,1,Winter,True,True
2021-01-20 06:00:01,20.5,2021,1,Winter,True,True
2021-01-21 06:00:01,12.7,2021,1,Winter,True,False
2021-01-22 06:00:01,13.4,2021,1,Winter,True,False
2021-02-08 06:00:01,12.1,2021,2,Winter,True,False
2021-04-11 06:00:01,15.4,2021,4,Spring,True,False
2021-05-17 06:00:01,19.5,2021,5,Spring,True,False
2021-06-11 06:00:01,25.6,2021,6,Summer,True,True
2021-06-20 06:00:01,12.6,2021,6,Summer,True,False
2021-06-21 06:00:01,22.6,2021,6,Summer,True,True
2021-06-29 06:00:01,11.1,2021,6,Summer,True,False
2021-08-07 06:00:01,34.7,2021,8,Summer,True,True
2021-08-17 06:00:01,91.3,2021,8,Summer,True,True
2021-08-26 06:00:01,27.4,2021,8,Summer,True,True
2021-09-23 06:00:01,23.7,2021,9,Autumn,True,True
2021-10-05 06:00:01,19.1,2021,10,Autumn,True,False
2021-10-19 06:00:01,14.5,2021,10,Autumn,True,False
2021-10-27 06:00:01,10.2,2021,10,Autumn,True,False
2021-11-03 06:00:01,12.2,2021,11,Autumn,True,False
2021-12-04 06:00:01,11.5,2021,12,Winter,True,False
2021-12-10 06:00:01,15.9,2021,12,Winter,True,False
2022-01-08 06:00:01,10.1,2022,1,Winter,True,False
2022-01-29 06:00:01,21.2,2022,1,Winter,True,True
2022-02-14 06:00:01,18.2,2022,2,Winter,True,False
2022-04-07 06:00:01,21.3,2022,4,Spring,True,True
2022-04-08 06:00:01,13.2,2022,4,Spring,True,False
2022-05-31 06:00:01,11.2,2022,5,Spring,True,False
2022-06-03 06:00:01,11.3,2022,6,Summer,True,False
2022-06-28 06:00:01,15.4,2022,6,Summer,True,False
2022-06-30 06:00:01,11.4,2022,6,Summer,True,False
2022-07-01 06:00:01,49.0,2022,7,Summer,True,True
2022-09-13 06:00:01,10.5,2022,9,Autumn,True,False
2022-10-25 06:00:01,13.8,2022,10,Autumn,True,False
2022-11-20 06:00:01,16.2,2022,11,Autumn,True,False
2022-11-21 06:00:01,16.0,2022,11,Autumn,True,False
2022-12-09 06:00:01,24.0,2022,12,Winter,True,True
2023-01-14 06:00:01,13.4,2023,1,Winter,True,False
2023-01-17 06:00:01,17.2,2023,1,Winter,True,False
2023-02-20 06:00:01,28.7,2023,2,Winter,True,True
2023-03-13 06:00:01,10.1,2023,3,Spring,True,False
2023-07-01 06:00:01,51.4,2023,7,Summer,True,True
2023-07-04 06:00:01,27.1,2023,7,Summer,True,True
2023-07-19 06:00:01,11.3,2023,7,Summer,True,False
2023-07-22 06:00:01,10.3,2023,7,Summer,True,False
2023-07-25 06:00:01,42.1,2023,7,Summer,True,True
2023-08-06 06:00:01,56.4,2023,8,Summer,True,True
2023-08-11 06:00:01,20.0,2023,8,Summer,True,False
2023-08-13 06:00:01,16.4,2023,8,Summer,True,False
2023-08-22 06:00:01,30.3,2023,8,Summer,True,True
2023-08-26 06:00:01,32.7,2023,8,Summer,True,True
2023-09-01 06:00:01,28.5,2023,9,Autumn,True,True
2023-10-06 06:00:01,23.8,2023,10,Autumn,True,True
2023-10-30 06:00:01,38.5,2023,10,Autumn,True,True
2023-10-31 06:00:01,23.2,2023,10,Autumn,True,True
2023-11-03 06:00:01,39.3,2023,11,Autumn,True,True
2023-11-04 06:00:01,22.6,2023,11,Autumn,True,True
2023-11-09 06:00:01,26.2,2023,11,Autumn,True,True
2023-11-10 06:00:01,18.4,2023,11,Autumn,True,False
2023-11-12 06:00:01,11.0,2023,11,Autumn,True,False
2023-11-28 06:00:01,16.2,2023,11,Autumn,True,False
2023-12-08 06:00:01,12.3,2023,12,Winter,True,False
2023-12-22 06:00:01,17.0,2023,12,Winter,True,False
2024-02-13 06:00:01,21.5,2024,2,Winter,True,True
2024-02-16 06:00:01,17.4,2024,2,Winter,True,False
2024-03-15 06:00:01,15.8,2024,3,Spring,True,False
2024-03-28 06:00:01,10.6,2024,3,Spring,True,False
2024-03-29 06:00:01,11.2,2024,3,Spring,True,False
2024-06-08 06:00:01,10.8,2024,6,Summer,True,False
2024-06-28 06:00:01,14.2,2024,6,Summer,True,False
2024-07-10 06:00:01,15.4,2024,7,Summer,True,False
2024-07-14 06:00:01,12.8,2024,7,Summer,True,False
2024-07-17 06:00:01,13.1,2024,7,Summer,True,False
2024-08-07 06:00:01,13.6,2024,8,Summer,True,False
2024-09-01 06:00:01,10.8,2024,9,Autumn,True,False
2024-10-10 06:00:01,27.5,2024,10,Autumn,True,True
